BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
3.735303702663308,0.818182,4.5685062016165,0.0,4.5685062016165,0.0,0.166667,0.0,0.083333,0.0,0,2,6.90875477931522,5.312230547798351,4.945277144710759,0.0,12
8.07198906965229,0.909091,0.0,0.0,0.0,8.77089628414314,0.0,0.0,0.0,0.22314355131420976,4,0,8.853808274977197,8.319725329557853,6.978530763203816,0.2006705136439528,12
7.82250436793527,1.0,6.651791487715673,6.651791487715673,0.0,0.0,1.0,0.6931471805599453,0.0,0.0,0,12,8.922791623969637,6.434653643065494,6.442993546160168,0.0,12
7.419183046623112,0.636364,7.313220387090301,7.313220387090301,0.0,5.331694196081131,0.083333,0.0800423999811814,0.0,0.0800423999811814,1,1,8.922791623969637,0.0,5.747301459426504,0.0,12
6.70773522569534,1.0,2.833213344056216,2.833213344056216,0.0,0.0,0.083333,0.0800423999811814,0.0,0.0,0,1,7.0909098220799835,6.521114029626576,5.5044825455607045,0.0,12
7.5015398929484585,1.0,7.1961470995031585,0.0,7.1961470995031585,0.0,0.666667,0.0,0.583333,0.0,0,8,7.496097345175956,7.244982780319138,7.786653975212626,0.0,12
6.442955376434953,1.0,8.866724077232586,8.764620296057728,6.535792642927974,0.0,1.0,0.6931471805599453,1.0,0.0,0,64,9.510519035757246,8.757046643926731,5.293635895542641,0.6931471805599453,12
7.509144970103254,1.0,6.080390756302384,0.0,6.080390756302384,0.0,1.0,0.0,1.0,0.0,0,12,7.741099090035366,6.522188502413885,6.278585193239496,0.0,12
6.92355625642517,1.0,6.759823554635403,6.496005463406834,5.303304908059076,0.0,0.333333,0.0800423999811814,0.25,0.0,0,5,8.853808274977197,6.535645496995635,5.7460862795529755,0.0,12
5.031913792542936,0.545455,7.156644546714762,7.156644546714762,0.0,0.0,0.166667,0.1541509655415032,0.0,0.0,0,3,9.305741456739435,7.06113759883932,4.618108740719055,0.0,12
7.16559002295018,1.0,6.8255903209275,0.0,6.8255903209275,0.0,1.0,0.0,1.0,0.0,0,12,7.0909098220799835,6.988690825187471,7.684185035477527,0.0,12
6.448564569245062,0.818182,7.308663352897687,7.308663352897687,0.0,0.0,0.25,0.22314355131420976,0.0,0.0,0,6,7.601402334583733,6.560491096026781,5.053369500772936,0.0,12
7.325101934452095,1.0,8.076822924739153,7.824537889863976,6.577527505058253,0.0,1.0,0.22314355131420976,0.916667,0.0,0,26,8.006700845440367,6.412251160861846,6.196865654011144,0.22314355131420976,12
6.827296968040859,1.0,7.668060982974215,6.042537817291983,7.44948055322358,0.0,0.75,0.1541509655415032,0.75,0.0,0,26,8.922791623969637,7.412698496269839,5.5299765011453,0.0800423999811814,12
7.927963670337596,1.0,0.0,0.0,0.0,5.851660350090109,0.0,0.0,0.0,0.0800423999811814,1,0,8.006700845440367,6.692887357486858,6.898677062386753,0.0,12
8.83742181644191,1.0,7.38566507198647,0.0,7.38566507198647,7.741746975288393,0.5,0.0,0.5,0.1541509655415032,4,11,8.987321812850125,7.598118225657629,7.654872750325277,0.0,12
7.636787979616954,0.875,0.0,0.0,0.0,7.932101784121888,0.0,0.0,0.0,0.22314355131420976,3,0,8.006700845440367,5.973744882038962,5.933781489490081,0.0,8
3.739798042057795,0.454545,6.253828811575473,0.0,6.253828811575473,0.0,0.416667,0.0,0.333333,0.0,0,8,7.824445930877619,5.543577188189688,4.306807558934665,0.22314355131420976,12
7.59592621253726,1.0,6.225251258520672,5.117993812416755,5.827032023149767,0.0,0.666667,0.0800423999811814,0.583333,0.0,0,9,9.472781556562168,7.451147239761315,6.614207228607001,0.0,12
